index,filename,url
44,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/44.htm,http://portal.utpa.edu/utpa_main/pres_home/oire_home/about/orgchart
45,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/45.htm,http://portal.utpa.edu/utpa_main/pres_home/oire_home/about/staff
46,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/46.htm,http://portal.utpa.edu/utpa_main/pres_home/oire_home/commiteescouncils/admin
47,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/47.htm,http://portal.utpa.edu/utpa_main/pres_home/oire_home/commiteescouncils/advisory
48,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/48.htm,http://portal.utpa.edu/utpa_main/pres_home/oire_home/commiteescouncils/campuslife
49,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/49.htm,http://portal.utpa.edu/utpa_main/pres_home/oire_home/commiteescouncils/representatives
50,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/50.htm,http://portal.utpa.edu/utpa_main/pres_home/oire_home/datareports
51,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/51.htm,http://portal.utpa.edu/utpa_main/pres_home/oire_home/factbook/hardcopy
52,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/52.htm,http://www.utpa.edu/hop
53,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/53.htm,http://www.utpa.edu
54,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/54.htm,http://www.utpa.edu/ogs
55,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/55.htm,http://portal.utpa.edu/utpa_main/daa_home/ogs_home
56,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/56.htm,http://portal.utpa.edu/utpa_main/daa_home/ogs_home/ogs_contactus
57,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/57.htm,http://blogs.utpa.edu/graduate/
58,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/58.htm,http://blogs.utpa.edu/graduate/estudiareua/
59,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/59.htm,http://blogs.utpa.edu/graduate/jobs/
60,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/60.htm,http://blogs.utpa.edu/graduate/internships/
61,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/61.htm,http://blogs.utpa.edu/graduate/author/jagarrido/
62,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/62.htm,http://blogs.utpa.edu/graduate/2015/06/05/speech-language-pathologist-position-available-in-houston/
63,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/63.htm,http://blogs.utpa.edu/graduate/2015/05/19/profile-in-excellence-iliana-cantu/
64,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/64.htm,http://blogs.utpa.edu/graduate/2015/05/13/hacu-and-southwest-airlines-lanzatetake-off-travel-award/
65,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/65.htm,http://blogs.utpa.edu/graduate/2015/05/07/part-time-summer-project-assistant-in-mcallen-mission-edinburg/
66,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/66.htm,http://blogs.utpa.edu/graduate/2015/04/30/professional-development-for-instructors-teaching-grades-3-12/
67,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/67.htm,http://blogs.utpa.edu/graduate/2015/04/22/great-news-the-chci-united-health-foundation-scholar-intern-program-deadline-extended/
68,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/68.htm,http://blogs.utpa.edu/graduate/2015/04/20/registration-for-fall-2015-classes-is-now-open/
69,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/69.htm,http://blogs.utpa.edu/graduate/2015/04/14/deadline-for-our-doctoral-dissertation-research-abroad-grant-competition-is-tuesday-april-28-2015-apply-now/
70,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/70.htm,http://blogs.utpa.edu/graduate/2015/04/14/graduate-fair-2015/
71,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/71.htm,http://blogs.utpa.edu/graduate/2015/04/10/graduate-research-assistant-opportunity-office-of-the-vice-provost-for-faculty-affairs/
72,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/72.htm,http://blogs.utpa.edu/graduate/2015/04/02/utpas-masters-in-public-administration-students-take-chicago/
73,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/73.htm,http://blogs.utpa.edu/graduate/2015/04/02/profiles-in-excellence-pamela-s-alexander/
74,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/74.htm,http://blogs.utpa.edu/graduate/2015/03/31/now-hiring-graduate-teaching-assistants/
75,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/75.htm,http://blogs.utpa.edu/graduate/2015/03/31/creative-common-licenses-and-fair-use-copyright-on-campus-workshops/
76,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/76.htm,http://blogs.utpa.edu/graduate/2015/03/16/dr-janis-feldman-earns-lifetime-achievement-award/
77,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/77.htm,http://blogs.utpa.edu/graduate/2015/03/05/utpa-graduate-travel-scholarship/
78,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/78.htm,http://blogs.utpa.edu/graduate/2015/02/02/utpa-graduate-fair-2015/
79,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/79.htm,http://blogs.utpa.edu/graduate/2015/01/28/american-rehabilitation-counseling-association-awards-noel-ysasi-doctoral-student-of-the-year/
80,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/80.htm,http://blogs.utpa.edu/graduate/2014/12/08/profile-in-excellence-robert-rosell/
81,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/81.htm,http://blogs.utpa.edu/graduate/2014/11/26/grants-coordinator-for-congressman-ruben-hinojosa-position-available/
82,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/82.htm,http://blogs.utpa.edu/graduate/2014/11/24/national-research-council-research-associateship-program/
83,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/83.htm,http://blogs.utpa.edu/graduate/2014/11/06/legislative-scholars-and-fellows-program-accepting-applicants/
84,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/84.htm,http://blogs.utpa.edu/graduate/2014/10/22/philanthropic-educational-organization-seeking-applicants-for-scholarship-opportunity/
85,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/85.htm,http://blogs.utpa.edu/graduate/2014/10/16/profiles-in-excellence-javier-saldana-jr/
86,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/86.htm,http://blogs.utpa.edu/graduate/2014/10/03/college-of-education-grad-school-info-session-2/
87,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/87.htm,http://blogs.utpa.edu/graduate/2014/10/02/college-of-social-and-behavioral-sciences-grad-school-info-session-2/
88,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/88.htm,http://blogs.utpa.edu/graduate/2014/09/11/national-science-foundation-nsf-east-asia-and-pacific-summer-institutes-eapsi-fellowship-program/
89,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/89.htm,http://blogs.utpa.edu/graduate/2014/09/03/meet-utpas-graduate-school-recruiter-in-harlingen/
90,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/90.htm,http://blogs.utpa.edu/graduate/2014/09/03/college-of-health-sciences-human-services-information-session/
91,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/91.htm,http://blogs.utpa.edu/graduate/2014/08/18/profiles-in-excellence-vanessa-lizeth-garcia/
92,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/92.htm,http://blogs.utpa.edu/graduate/2014/08/05/profiles-in-excellence-juan-diego-prado/
93,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/93.htm,http://blogs.utpa.edu/graduate/2014/08/04/graduate-class-registration/
94,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/94.htm,http://blogs.utpa.edu/graduate/2014/07/25/profiles-in-excellence-robert-curci/
95,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/95.htm,http://blogs.utpa.edu/graduate/2014/07/21/profiles-in-excellence-berenice-martinez/
96,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/96.htm,http://blogs.utpa.edu/graduate/2014/07/17/profile-in-excellence-samuel-morin-jr/
97,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/97.htm,http://blogs.utpa.edu/graduate/2014/07/07/5428/
98,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/98.htm,http://blogs.utpa.edu/graduate/2014/07/07/teaching-academy-boot-camp-2014/
99,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/99.htm,http://blogs.utpa.edu/graduate/2014/07/03/profiles-in-excellence-sirisha-koneti/
100,C:\Users\Alex\Documents\GitHub\CSCI6379/document_corpus/100.htm,http://blogs.utpa.edu/graduate/2014/06/23/profiles-in-excellence-ashok-reddy/
